index,time,day_of_week,hour,is_weekend,is_home_time,latitude,longitude,work_hours
22544,2016-12-20 12:24:09,1,12,False,False,34.4265,70.4613,True
23105,2016-12-20 20:27:47,1,20,False,True,34.4407,70.398,False
23111,2016-12-22 10:37:54,3,10,False,False,34.4245,70.4245,True
23120,2016-12-22 15:57:45,3,15,False,False,34.5336,69.0856,True
23142,2016-12-08 18:20:09,3,18,False,True,34.4407,70.398,False
23177,2016-12-30 08:36:47,4,8,True,True,34.4321,70.4682,False
23222,2016-12-19 14:42:05,0,14,False,False,34.4407,70.398,True
23231,2016-12-25 08:18:19,6,8,False,False,34.4407,70.398,False
23278,2016-12-13 11:53:16,1,11,False,False,34.4347,70.4758,True
23843,2016-12-26 20:17:49,0,20,False,True,34.4407,70.398,False
24247,2016-12-26 20:07:06,0,20,False,True,34.4407,70.398,False
24350,2016-12-23 10:11:26,4,10,True,True,34.5325,69.1508,False
24383,2016-12-16 18:44:07,4,18,True,True,34.4407,70.398,False
24662,2016-12-24 17:02:02,5,17,False,True,34.4265,70.4613,False
24668,2016-12-28 07:22:45,2,7,False,True,34.4407,70.398,False
24746,2016-12-30 16:38:53,4,16,True,True,34.5011,70.3906,False
25020,2016-12-31 17:10:57,5,17,False,True,34.4407,70.398,False
25172,2016-12-27 10:29:24,1,10,False,False,34.4202,70.4383,True
25321,2016-12-30 06:28:30,4,6,True,True,34.4321,70.4682,False
25537,2016-12-22 10:17:41,3,10,False,False,34.4245,70.4245,True
25605,2016-12-27 11:13:51,1,11,False,False,34.4265,70.4613,True
25731,2016-12-29 09:09:09,3,9,False,False,34.4245,70.4245,True
25760,2016-12-26 17:43:34,0,17,False,True,34.5011,70.3906,False
25769,2016-12-24 18:58:35,5,18,False,True,34.4407,70.398,False
25794,2016-12-26 17:39:15,0,17,False,True,34.5011,70.3906,False
59095,2017-01-13 20:25:04,4,20,True,True,34.438,70.4435,False
59459,2017-01-02 19:53:19,0,19,False,True,34.4407,70.398,False
59702,2017-01-01 18:30:27,6,18,False,True,34.4407,70.398,False
59778,2017-01-03 06:38:32,1,6,False,True,34.5011,70.3906,False
60145,2017-01-04 18:01:21,2,18,False,True,34.4407,70.398,False
60398,2017-01-02 08:20:29,0,8,False,False,34.5011,70.3906,False
60599,2017-01-12 13:39:35,3,13,False,False,34.4341,70.4336,True
60638,2017-01-06 19:58:26,4,19,True,True,34.5011,70.3906,False
60937,2017-01-10 18:48:24,1,18,False,True,34.5011,70.3906,False
61002,2017-01-13 08:54:02,4,8,True,True,34.5011,70.3906,False
61009,2017-01-13 08:19:25,4,8,True,True,34.4245,70.4245,False
61131,2017-01-08 18:25:30,6,18,False,True,34.4407,70.398,False
61370,2017-01-09 18:58:20,0,18,False,True,34.3962,70.4875,False
61458,2017-01-02 08:50:07,0,8,False,False,34.5011,70.3906,False
61627,2017-01-02 11:52:46,0,11,False,False,34.416778,70.470556,True
62275,2017-01-14 08:06:04,5,8,False,False,34.4407,70.398,False
62317,2017-01-14 14:19:55,5,14,False,False,34.4309,70.4518,True
62502,2017-01-06 15:51:36,4,15,True,True,34.5011,70.3906,False
62676,2017-01-03 20:01:43,1,20,False,True,34.4407,70.398,False
62861,2017-01-05 08:44:37,3,8,False,False,34.5011,70.3906,False
63033,2017-01-12 13:55:24,3,13,False,False,34.4341,70.4336,True
63095,2017-01-10 09:19:37,1,9,False,False,34.4407,70.398,True
63263,2017-01-13 09:48:07,4,9,True,True,34.5011,70.3906,False
63282,2017-01-11 08:43:37,2,8,False,False,34.4407,70.398,False
63353,2017-01-11 19:00:16,2,19,False,True,34.4407,70.398,False
63413,2017-01-06 15:21:05,4,15,True,True,34.4407,70.398,False
63482,2017-01-06 14:33:29,4,14,True,True,34.5011,70.3906,False
63591,2017-01-06 08:34:28,4,8,True,True,34.4407,70.398,False
63624,2017-01-07 17:05:35,5,17,False,True,34.4245,70.4245,False
63660,2017-01-15 16:30:56,6,16,False,True,34.5011,70.3906,True
64180,2017-01-13 08:34:39,4,8,True,True,34.4407,70.398,False
64478,2017-01-11 18:30:28,2,18,False,True,34.4407,70.398,False
64944,2017-01-13 17:52:31,4,17,True,True,34.4407,70.398,False
65193,2017-01-07 18:06:54,5,18,False,True,34.4407,70.398,False
65668,2017-01-01 19:02:23,6,19,False,True,34.4407,70.398,False
66155,2017-01-09 07:29:22,0,7,False,True,34.4407,70.398,False
66306,2017-01-11 18:04:21,2,18,False,True,34.4407,70.398,False
66320,2017-01-11 18:05:09,2,18,False,True,34.4407,70.398,False
66414,2017-01-22 20:54:11,6,20,False,True,34.4407,70.398,False
66627,2017-01-02 14:44:40,0,14,False,False,34.4309,70.4518,True
66759,2017-01-02 11:44:26,0,11,False,False,34.416778,70.470556,True
66829,2017-01-17 09:14:48,1,9,False,False,34.4407,70.398,True
66857,2017-01-13 19:32:28,4,19,True,True,34.4064,70.4601,False
67278,2017-01-07 07:09:37,5,7,False,True,34.4407,70.398,False
67297,2017-01-12 20:29:29,3,20,False,True,34.4407,70.398,False
68391,2017-01-07 09:01:30,5,9,False,False,34.5011,70.3906,True
68800,2017-01-12 14:09:12,3,14,False,False,34.4301,70.4428,True
68844,2017-01-12 13:53:27,3,13,False,False,34.4341,70.4336,True
68995,2017-01-11 08:48:33,2,8,False,False,34.4407,70.398,False
68998,2017-01-14 18:48:03,5,18,False,True,34.4202,70.4383,False
69135,2017-01-15 16:23:30,6,16,False,True,34.4407,70.398,True
69770,2017-01-08 12:45:25,6,12,False,False,34.4326,70.4584,True
69860,2017-01-14 18:19:54,5,18,False,True,34.4407,70.398,False
69891,2017-01-14 14:21:21,5,14,False,False,34.4309,70.4518,True
70609,2017-01-15 17:19:41,6,17,False,True,34.4407,70.398,False
70720,2017-01-09 15:42:50,0,15,False,False,34.4407,70.398,True
70867,2017-01-18 13:01:02,2,13,False,False,34.4407,70.398,True
70908,2017-01-14 08:13:31,5,8,False,False,34.5011,70.3906,False
71148,2017-01-19 16:14:43,3,16,False,True,34.4407,70.398,True
71170,2017-01-18 18:27:16,2,18,False,True,34.4407,70.398,False
71192,2017-01-18 20:04:01,2,20,False,True,34.4407,70.398,False
71203,2017-01-18 18:18:40,2,18,False,True,34.4407,70.398,False
71349,2017-01-08 17:29:27,6,17,False,True,34.4407,70.398,False
71401,2017-01-08 18:28:16,6,18,False,True,34.4407,70.398,False
71541,2017-01-11 07:44:35,2,7,False,True,34.4407,70.398,False
71590,2017-01-11 08:37:41,2,8,False,False,34.5011,70.3906,False
71761,2017-01-13 20:55:01,4,20,True,True,34.4064,70.4601,False
71765,2017-01-14 18:02:09,5,18,False,True,34.5011,70.3906,False
72105,2017-01-05 18:28:05,3,18,False,True,34.4407,70.398,False
73000,2017-01-16 06:58:10,0,6,False,True,34.5011,70.3906,False
73098,2017-01-09 17:36:56,0,17,False,True,34.4265,70.4613,False
73747,2017-01-13 19:05:42,4,19,True,True,34.5011,70.3906,False
74220,2017-01-10 08:53:57,1,8,False,False,34.4407,70.398,False
74312,2017-01-15 17:39:21,6,17,False,True,34.4202,70.4383,False
74610,2017-01-14 13:22:25,5,13,False,False,34.416778,70.470556,True
75343,2017-01-09 16:54:58,0,16,False,True,34.4265,70.4613,True
75671,2017-01-09 18:31:36,0,18,False,True,34.3962,70.4875,False
78102,2017-01-11 07:46:18,2,7,False,True,34.5011,70.3906,False
78215,2017-01-09 07:07:37,0,7,False,True,34.4407,70.398,False
78254,2017-01-09 20:36:51,0,20,False,True,34.3962,70.4875,False
78317,2017-01-14 08:03:07,5,8,False,False,34.4245,70.4245,False
78348,2017-01-14 19:10:08,5,19,False,True,34.4309,70.4518,False
78544,2017-01-14 19:43:43,5,19,False,True,34.4326,70.4584,False
78564,2017-01-15 16:21:35,6,16,False,True,34.4407,70.398,True
80761,2017-01-01 07:47:57,6,7,False,True,34.5011,70.3906,False
80801,2017-01-13 18:22:50,4,18,True,True,34.4407,70.398,False
80959,2017-01-08 13:04:57,6,13,False,False,34.4326,70.4584,True
81730,2017-01-14 18:14:01,5,18,False,True,34.4407,70.398,False
82351,2017-01-13 08:08:45,4,8,True,True,34.4407,70.398,False
83006,2017-01-15 08:20:24,6,8,False,False,34.4245,70.4245,False
84078,2017-01-17 08:50:50,1,8,False,False,34.5011,70.3906,False
85717,2016-09-11 17:37:51,6,17,False,True,34.4245,70.4245,False
89566,2016-09-05 13:27:34,0,13,False,False,34.4202,70.4383,True
95864,2016-09-26 19:15:19,0,19,False,True,34.4526,70.5136,False
95866,2016-09-26 19:10:08,0,19,False,True,34.4526,70.5136,False
108818,2016-09-03 09:50:30,5,9,False,False,34.4245,70.4245,True
109648,2016-09-03 09:48:42,5,9,False,False,34.4245,70.4245,True
111004,2016-09-11 17:13:36,6,17,False,True,34.4301,70.4428,False
116720,2016-09-11 14:57:52,6,14,False,False,34.5011,70.3906,True
117548,2016-09-03 09:19:37,5,9,False,False,34.4407,70.398,True
128605,2017-02-01 19:38:57,2,19,False,True,34.4407,70.398,False
135286,2017-02-20 18:55:10,0,18,False,True,34.4407,70.398,False
135300,2017-02-20 18:56:39,0,18,False,True,34.4407,70.398,False
137077,2017-02-20 09:41:29,0,9,False,False,34.4202,70.4383,True
138615,2017-02-26 06:53:44,6,6,False,True,34.4407,70.398,False
147628,2016-11-11 12:06:32,4,12,True,True,34.4245,70.4245,False
149056,2016-11-10 14:45:52,3,14,False,False,34.4407,70.398,True
150483,2016-11-10 09:42:22,3,9,False,False,34.4202,70.4383,True
152353,2016-11-15 14:23:07,1,14,False,False,34.4202,70.4383,True
153707,2016-11-10 09:37:43,3,9,False,False,34.4202,70.4383,True
154409,2016-11-10 09:26:56,3,9,False,False,34.4202,70.4383,True
161288,2016-11-14 16:31:34,0,16,False,True,34.5011,70.3906,True
162574,2016-11-10 09:39:48,3,9,False,False,34.4202,70.4383,True
177358,2016-10-05 06:59:21,2,6,False,True,34.4407,70.398,False
