,index,callingcellid,date_key,call_date,caller,year_month,time,day_of_week,is_weekend,hour,time_of_day,is_home_time,latitude,longitude,provName
47,5180,4.12203011463e+14,20161218,12/18/2016 5:27:31 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-18 17:27:31,6,False,17,17.45,True,34.5011,70.3906,Nangarhar
48,5310,4.1220301113e+14,20161227,12/27/2016 7:22:43 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-27 19:22:43,1,False,19,19.3666666667,True,34.4407,70.398,Nangarhar
49,5504,4.12203011463e+14,20161205,12/5/2016 8:05:20 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 08:05:20,0,False,8,8.08333333333,False,34.5011,70.3906,Nangarhar
50,5907,4.12203011131e+14,20161229,12/29/2016 12:47:25 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-29 12:47:25,3,False,12,12.7833333333,False,34.4265,70.4613,Nangarhar
51,6062,4.1220301113e+14,20161216,12/16/2016 6:03:22 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-16 18:03:22,4,True,18,18.05,True,34.4407,70.398,Nangarhar
52,6079,4.1220301113e+14,20161202,12/2/2016 8:24:25 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 20:24:25,4,True,20,20.4,True,34.4407,70.398,Nangarhar
53,6082,4.12203011463e+14,20161201,12/1/2016 2:16:52 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 14:16:52,3,False,14,14.2666666667,False,34.5011,70.3906,Nangarhar
54,6263,4.1220301113e+14,20161205,12/5/2016 5:13:30 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 17:13:30,0,False,17,17.2166666667,True,34.4407,70.398,Nangarhar
55,6399,4.1220301113e+14,20161207,12/7/2016 1:15:27 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-07 13:15:27,2,False,13,13.25,False,34.4202,70.4383,Nangarhar
56,6491,4.12203011131e+14,20161207,12/7/2016 2:28:25 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-07 14:28:25,2,False,14,14.4666666667,False,34.4265,70.4613,Nangarhar
57,6598,4.12203011463e+14,20161210,12/10/2016 5:35:07 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-10 17:35:07,5,False,17,17.5833333333,True,34.5011,70.3906,Nangarhar
58,6620,4.1220301113e+14,20161205,12/5/2016 6:21:06 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 18:21:06,0,False,18,18.35,True,34.4407,70.398,Nangarhar
